yyyymm,link
200211,https://download-0013-clone.copernicus-climate.eu/cache-compute-0013/cache/data7/adaptor.mars.internal-1695080509.0776427-12321-17-37b3fb9a-dce8-46a3-9c0b-e51ff1ee3a71.nc
200212,https://download-0011-clone.copernicus-climate.eu/cache-compute-0011/cache/data8/adaptor.mars.internal-1695080678.6751313-4706-6-27acec9e-d954-46ee-9367-5938c4fcb2e4.nc
200301,https://download-0014-clone.copernicus-climate.eu/cache-compute-0014/cache/data3/adaptor.mars.internal-1695080855.8815706-28326-2-b00c639f-27ad-4906-bbc3-c1b4e09133a0.nc
200302,https://download-0010-clone.copernicus-climate.eu/cache-compute-0010/cache/data7/adaptor.mars.internal-1695081016.2953131-10599-7-78593078-5018-4dac-9ff0-1e0a3d6621f3.nc
200303,https://download-0002-clone.copernicus-climate.eu/cache-compute-0002/cache/data0/adaptor.mars.internal-1695081143.3268075-9142-16-9293a759-cdd8-4869-8797-2936efde57ed.nc
200304,https://download-0012-clone.copernicus-climate.eu/cache-compute-0012/cache/data8/adaptor.mars.internal-1695081318.4843872-9766-10-d9c14f04-7059-4e15-adc4-bc78b9361e01.nc
200305,https://download-0010-clone.copernicus-climate.eu/cache-compute-0010/cache/data5/adaptor.mars.internal-1695081490.7564483-13458-9-9b7aa1e3-3347-4b79-9b33-4338463dd2ce.nc
200306,https://download-0011-clone.copernicus-climate.eu/cache-compute-0011/cache/data9/adaptor.mars.internal-1695081666.9085908-11546-13-4120c0b1-be19-46d8-85ec-57ce67c877dc.nc
200307,https://download-0017.copernicus-climate.eu/cache-compute-0017/cache/data5/adaptor.mars.internal-1695081851.576386-11200-5-d51bcc40-37f7-42b4-bca6-a80ac0a6c965.nc
200308,https://download-0017.copernicus-climate.eu/cache-compute-0017/cache/data6/adaptor.mars.internal-1695082024.4094236-32755-11-ae36df80-4949-4418-b7f4-935eaae68756.nc
200309,https://download-0009-clone.copernicus-climate.eu/cache-compute-0009/cache/data9/adaptor.mars.internal-1695082189.0898466-6021-2-81f617e7-ce5d-4241-aba6-14b6c1c328f7.nc
200310,https://download-0019.copernicus-climate.eu/cache-compute-0019/cache/data5/adaptor.mars.internal-1695082371.9015603-25628-9-14ad635b-be93-4ff8-b776-b7a56a2bc735.nc
200311,https://download-0017.copernicus-climate.eu/cache-compute-0017/cache/data1/adaptor.mars.internal-1695082544.441944-9242-16-782a66a5-3e49-4a4f-b40d-72ef72f37bb0.nc
200312,https://download-0013-clone.copernicus-climate.eu/cache-compute-0013/cache/data2/adaptor.mars.internal-1695082744.6562505-3420-9-e95ce3b2-8a2a-410f-8336-df46bd0faec1.nc
200401,https://download-0014-clone.copernicus-climate.eu/cache-compute-0014/cache/data1/adaptor.mars.internal-1695082971.349862-16059-7-4d6778ba-78db-4205-b346-b773f33c254e.nc
200402,https://download-0014-clone.copernicus-climate.eu/cache-compute-0014/cache/data4/adaptor.mars.internal-1695083145.0257668-16589-10-216786b4-8525-4b00-a3f2-ac209242ed1a.nc
200403,https://download-0005-clone.copernicus-climate.eu/cache-compute-0005/cache/data0/adaptor.mars.internal-1695083323.9935153-8324-5-c31a3564-da14-4d7c-9c7a-b9dd231188de.nc
200404,https://download-0019.copernicus-climate.eu/cache-compute-0019/cache/data7/adaptor.mars.internal-1695160455.687383-5395-3-e1febc00-8201-4283-a9f1-9f08dc23fc13.nc
200405,https://download-0006-clone.copernicus-climate.eu/cache-compute-0006/cache/data6/adaptor.mars.internal-1695083756.0575182-24364-2-e1ee94cb-626a-4b44-b0ce-7600e4e249c3.nc
200406,https://download-0021.copernicus-climate.eu/cache-compute-0021/cache/data9/adaptor.mars.internal-1695083935.0292425-13683-9-588bae56-ab8f-4c72-9ec4-916a820754b2.nc
200407,https://download-0011-clone.copernicus-climate.eu/cache-compute-0011/cache/data3/adaptor.mars.internal-1695084104.5367048-9581-8-a2c3c1b8-0c5f-4497-a8e1-f5173640c83d.nc
200408,https://download-0010-clone.copernicus-climate.eu/cache-compute-0010/cache/data2/adaptor.mars.internal-1695084273.9697664-10279-4-97a53295-fc1a-4529-9ff2-ae73e4d6b976.nc
200409,https://download-0012-clone.copernicus-climate.eu/cache-compute-0012/cache/data0/adaptor.mars.internal-1695084447.9107738-5706-4-e4acdb27-1f0b-419f-94cb-35de3e04712c.nc
200410,https://download-0011-clone.copernicus-climate.eu/cache-compute-0011/cache/data5/adaptor.mars.internal-1695084622.362412-12851-10-8e2493c4-4a5b-4423-bfac-ed0e022171cf.nc
200411,https://download-0001-clone.copernicus-climate.eu/cache-compute-0001/cache/data1/adaptor.mars.internal-1695084796.432891-8907-18-9aa01147-3cb7-44fd-b1cd-1bbff3c6fc60.nc
200412,https://download-0006-clone.copernicus-climate.eu/cache-compute-0006/cache/data6/adaptor.mars.internal-1695084973.2060921-29084-19-58c4993f-8340-419e-9c78-a879f4c51ef8.nc
200501,https://download-0000-clone.copernicus-climate.eu/cache-compute-0000/cache/data9/adaptor.mars.internal-1695085133.662195-24540-8-29ad101f-791a-4e2f-9d4d-5db4e2d6cdbe.nc
200502,https://download-0013-clone.copernicus-climate.eu/cache-compute-0013/cache/data6/adaptor.mars.internal-1695085299.268273-30109-15-889471d6-9be2-4e29-9ab6-c358af48d82e.nc
200503,https://download-0003-clone.copernicus-climate.eu/cache-compute-0003/cache/data8/adaptor.mars.internal-1695085479.3175519-19106-8-b90d5ab0-f13b-4e6b-bf46-00308f017398.nc
200504,https://download-0005-clone.copernicus-climate.eu/cache-compute-0005/cache/data8/adaptor.mars.internal-1695085652.3782587-31233-16-6c379286-0861-4423-8b7f-b767c2bc142a.nc
200505,https://download-0014-clone.copernicus-climate.eu/cache-compute-0014/cache/data3/adaptor.mars.internal-1695085824.7200744-13342-2-03c6afc9-15b6-45e9-aa74-bed549bf26b5.nc
200506,https://download-0017.copernicus-climate.eu/cache-compute-0017/cache/data6/adaptor.mars.internal-1695085998.1403544-11508-7-726c85df-5f81-440e-94dc-ae1a1dce3dc2.nc
200507,https://download-0008-clone.copernicus-climate.eu/cache-compute-0008/cache/data4/adaptor.mars.internal-1695086178.5912106-1356-15-db11ab16-768f-4637-a7c9-c2ca9dfa1537.nc
200508,https://download-0016.copernicus-climate.eu/cache-compute-0016/cache/data7/adaptor.mars.internal-1695086356.4805357-13249-7-43036c01-490e-45df-975f-4c4dfd1054c0.nc
200509,https://download-0009-clone.copernicus-climate.eu/cache-compute-0009/cache/data3/adaptor.mars.internal-1695086488.8878026-7414-13-be51af69-4a72-4832-8432-b0cf3244dc76.nc
200510,https://download-0002-clone.copernicus-climate.eu/cache-compute-0002/cache/data4/adaptor.mars.internal-1695086635.5122757-24133-12-ab6120d1-1c95-4e25-8326-d56fec7472f0.nc
200511,https://download-0020.copernicus-climate.eu/cache-compute-0020/cache/data4/adaptor.mars.internal-1695086822.9131536-10728-9-518dc027-76ae-4af6-86c9-407825167c55.nc
200512,https://download-0007-clone.copernicus-climate.eu/cache-compute-0007/cache/data5/adaptor.mars.internal-1695086993.2731469-6674-11-b34bd1fe-ee86-4262-99c1-2038cbaca6c7.nc
200601,https://download-0015-clone.copernicus-climate.eu/cache-compute-0015/cache/data0/adaptor.mars.internal-1695087170.1506186-3843-5-3b526751-7f98-4e81-98bb-f8d89ebc7350.nc
200602,https://download-0008-clone.copernicus-climate.eu/cache-compute-0008/cache/data0/adaptor.mars.internal-1695087333.565772-17448-4-2c635639-f182-41e5-8b84-1140f67f463b.nc
200603,https://download-0017.copernicus-climate.eu/cache-compute-0017/cache/data7/adaptor.mars.internal-1695087493.5994115-26779-1-8558c4a4-e1c1-4bc5-91f5-c6f5be863aea.nc
200604,https://download-0012-clone.copernicus-climate.eu/cache-compute-0012/cache/data8/adaptor.mars.internal-1695087659.37904-1894-16-f7fd2771-e3d4-4e2c-b2a8-4c6717cefdba.nc
200605,https://download-0016.copernicus-climate.eu/cache-compute-0016/cache/data2/adaptor.mars.internal-1695087804.107291-24979-19-1fc5f4a8-fd93-4db5-8180-7721900d2277.nc
200606,https://download-0021.copernicus-climate.eu/cache-compute-0021/cache/data8/adaptor.mars.internal-1695088063.0461001-24951-2-092e7034-49de-4e21-b3a1-ff4e95e8904a.nc
200607,https://download-0012-clone.copernicus-climate.eu/cache-compute-0012/cache/data0/adaptor.mars.internal-1695088238.202621-15752-1-cdcbc165-8501-4ff4-bc00-a24016fbfdb7.nc
200608,https://download-0015-clone.copernicus-climate.eu/cache-compute-0015/cache/data8/adaptor.mars.internal-1695088403.0456316-13788-2-6cdbf0a8-629d-4dd2-819c-dd0e0433e7d6.nc
200609,https://download-0017.copernicus-climate.eu/cache-compute-0017/cache/data5/adaptor.mars.internal-1695088582.0166218-32676-6-af36c757-eb32-466c-98d2-1c580099ad1a.nc
200610,https://download-0003-clone.copernicus-climate.eu/cache-compute-0003/cache/data8/adaptor.mars.internal-1695088755.1791158-19625-8-f268da6b-272d-4e8a-a4e1-2a9578c683f0.nc
200611,https://download-0005-clone.copernicus-climate.eu/cache-compute-0005/cache/data9/adaptor.mars.internal-1695088925.04063-24938-7-05c01874-c707-4122-a311-d69eecaebff1.nc
200612,https://download-0011-clone.copernicus-climate.eu/cache-compute-0011/cache/data5/adaptor.mars.internal-1695089101.008471-23219-4-baefc4a5-a544-40f1-b065-667925e0e759.nc
200701,https://download-0003-clone.copernicus-climate.eu/cache-compute-0003/cache/data8/adaptor.mars.internal-1695089273.7686749-24619-8-424847ff-9401-4757-a1a1-a05ce24f88cc.nc
200702,https://download-0020.copernicus-climate.eu/cache-compute-0020/cache/data8/adaptor.mars.internal-1695089443.8437154-389-10-ef30da9f-fa71-44ed-828a-f28b4fb90e1b.nc
200703,https://download-0008-clone.copernicus-climate.eu/cache-compute-0008/cache/data0/adaptor.mars.internal-1695089623.8616288-12315-5-7f16f7f5-ac09-48d7-b407-fefc27034a3c.nc
200704,https://download-0012-clone.copernicus-climate.eu/cache-compute-0012/cache/data0/adaptor.mars.internal-1695089888.2245128-28952-18-6041e90b-c9df-40fa-a014-7aa1bf21bfeb.nc
200705,https://download-0003-clone.copernicus-climate.eu/cache-compute-0003/cache/data8/adaptor.mars.internal-1695090055.4360638-4058-4-d8cf928a-677e-40bf-af30-7883351e9943.nc
200706,https://download-0005-clone.copernicus-climate.eu/cache-compute-0005/cache/data9/adaptor.mars.internal-1695090225.919688-6617-10-f188974b-9865-4197-9d3e-85ccaee7a4c4.nc
200707,https://download-0016.copernicus-climate.eu/cache-compute-0016/cache/data7/adaptor.mars.internal-1695090400.8119361-15247-16-cebceb70-c9fd-4cfb-b5b4-7839a262b965.nc
200708,https://download-0002-clone.copernicus-climate.eu/cache-compute-0002/cache/data2/adaptor.mars.internal-1695090574.5126774-31042-19-aa266b8f-067f-491f-8cf9-2d6f214b491e.nc
200709,https://download-0020.copernicus-climate.eu/cache-compute-0020/cache/data5/adaptor.mars.internal-1695090831.1167638-17597-5-8395e960-59a9-4e9c-9e07-2a9fa1513a22.nc
200710,https://download-0018.copernicus-climate.eu/cache-compute-0018/cache/data5/adaptor.mars.internal-1695091006.540539-25716-10-a3558670-0e62-483b-983b-8a4a7c47048e.nc
200711,https://download-0009-clone.copernicus-climate.eu/cache-compute-0009/cache/data5/adaptor.mars.internal-1695091266.4317875-27708-8-5b590d0c-c4e7-4e9c-bcca-444e6199147c.nc
200712,https://download-0010-clone.copernicus-climate.eu/cache-compute-0010/cache/data7/adaptor.mars.internal-1695160627.4567542-9242-7-bb9c1d88-4234-4255-8768-c940003ed2a0.nc
200801,https://download-0014-clone.copernicus-climate.eu/cache-compute-0014/cache/data1/adaptor.mars.internal-1695091788.7300053-12054-13-7a32e3c7-e7aa-4030-854a-e92585756515.nc
200802,https://download-0019.copernicus-climate.eu/cache-compute-0019/cache/data5/adaptor.mars.internal-1695091956.3070266-23972-18-6d0b1c6c-3da7-4741-982b-7f5d1ea85d2f.nc
200803,https://download-0000-clone.copernicus-climate.eu/cache-compute-0000/cache/data3/adaptor.mars.internal-1695092103.014715-1317-11-016832d5-db07-4ebc-a38e-3d58170581b3.nc
200804,https://download-0015-clone.copernicus-climate.eu/cache-compute-0015/cache/data8/adaptor.mars.internal-1695092249.8853335-9825-1-b0ed1f27-4fcc-42c8-b546-36ce4a062c58.nc
200805,https://download-0018.copernicus-climate.eu/cache-compute-0018/cache/data4/adaptor.mars.internal-1695092432.4523408-9164-7-4e8f8084-9fbb-477f-b698-7fab4c156b81.nc
200806,https://download-0020.copernicus-climate.eu/cache-compute-0020/cache/data5/adaptor.mars.internal-1695092677.676987-3844-5-a06347b5-a13a-4099-bb30-a74f6b556f2e.nc
200807,https://download-0019.copernicus-climate.eu/cache-compute-0019/cache/data5/adaptor.mars.internal-1695092866.193246-31659-18-93b2c857-f10e-4111-ad53-93eced145820.nc
200808,https://download-0013-clone.copernicus-climate.eu/cache-compute-0013/cache/data3/adaptor.mars.internal-1695093111.880606-19305-12-b70628a4-e1bb-4159-a714-2f65176502f4.nc
200809,https://download-0006-clone.copernicus-climate.eu/cache-compute-0006/cache/data0/adaptor.mars.internal-1695093293.390268-13194-15-be367b27-030b-4430-94b1-05ab30561667.nc
200810,https://download-0016.copernicus-climate.eu/cache-compute-0016/cache/data8/adaptor.mars.internal-1695093432.033593-7962-17-18915983-1177-46ea-8996-3ceffdc4f2c0.nc
200811,https://download-0017.copernicus-climate.eu/cache-compute-0017/cache/data1/adaptor.mars.internal-1695093633.4025464-14704-18-0733c05a-d769-41d9-b6fa-d277a12a2ce9.nc
200812,https://download-0003-clone.copernicus-climate.eu/cache-compute-0003/cache/data3/adaptor.mars.internal-1695093803.658282-6730-11-8126629a-aa86-40c0-bf24-03a1481d5961.nc
200901,https://download-0006-clone.copernicus-climate.eu/cache-compute-0006/cache/data9/adaptor.mars.internal-1695093978.1023133-18643-9-04bda704-3c49-42f1-a53f-e6964c387e0d.nc
200902,https://download-0011-clone.copernicus-climate.eu/cache-compute-0011/cache/data0/adaptor.mars.internal-1695094150.0158298-4319-9-f6b57b5d-6a31-44fb-b59b-ea6384973ad9.nc
200903,https://download-0001-clone.copernicus-climate.eu/cache-compute-0001/cache/data1/adaptor.mars.internal-1695094316.365894-1759-16-a1ff5b4b-c32e-48b4-9819-dbcb4ef19e25.nc
200904,https://download-0017.copernicus-climate.eu/cache-compute-0017/cache/data6/adaptor.mars.internal-1695094490.1555748-21029-9-e8a91be1-0a46-4dbc-a432-2c019f5f97c6.nc
200905,https://download-0008-clone.copernicus-climate.eu/cache-compute-0008/cache/data3/adaptor.mars.internal-1695094675.2544842-22129-11-5d668d77-554e-4dd3-a80a-bff32892f5eb.nc
200906,https://download-0013-clone.copernicus-climate.eu/cache-compute-0013/cache/data7/adaptor.mars.internal-1695094845.4274032-31607-14-65beac8e-1db3-4f52-9509-facfc437b2c9.nc
200907,https://download-0011-clone.copernicus-climate.eu/cache-compute-0011/cache/data5/adaptor.mars.internal-1695095029.4889405-17493-4-8a81d7a9-2c8f-4f93-a1a5-77f3750ff909.nc
200908,https://download-0003-clone.copernicus-climate.eu/cache-compute-0003/cache/data3/adaptor.mars.internal-1695095286.6942587-4670-10-ea55960d-3465-4c76-879a-758209e2e49f.nc
200909,https://download-0017.copernicus-climate.eu/cache-compute-0017/cache/data8/adaptor.mars.internal-1695095455.8295612-1571-3-2c45035c-9795-4f93-9ec3-cf56923e2196.nc
200910,https://download-0017.copernicus-climate.eu/cache-compute-0017/cache/data3/adaptor.mars.internal-1695095628.264721-1857-4-e4895d6d-39e8-4ae4-8bae-2f3f8dd9d615.nc
200911,https://download-0017.copernicus-climate.eu/cache-compute-0017/cache/data1/adaptor.mars.internal-1695095890.4101024-2154-17-29aba5bd-ba50-4e8b-a644-b6484fe08b3e.nc
200912,https://download-0012-clone.copernicus-climate.eu/cache-compute-0012/cache/data3/adaptor.mars.internal-1695096147.115427-27531-7-d27e6546-9d92-4c1f-8445-054a7f972cad.nc
201001,https://download-0005-clone.copernicus-climate.eu/cache-compute-0005/cache/data5/adaptor.mars.internal-1695096320.4217389-23771-12-230f31b3-95e9-425d-89e5-3b0ec72a7825.nc
201002,https://download-0020.copernicus-climate.eu/cache-compute-0020/cache/data2/adaptor.mars.internal-1695096491.1578758-4032-7-594072ba-7d26-4330-a4cb-6236d1a45e3b.nc
201003,https://download-0005-clone.copernicus-climate.eu/cache-compute-0005/cache/data1/adaptor.mars.internal-1695096673.4216204-4254-13-c0faf647-e693-4154-8f1e-a6d72d3bd078.nc
201004,https://download-0006-clone.copernicus-climate.eu/cache-compute-0006/cache/data7/adaptor.mars.internal-1695096837.3207014-13202-3-35a6363c-27e5-4989-975a-c22f1680505c.nc
201005,https://download-0010-clone.copernicus-climate.eu/cache-compute-0010/cache/data5/adaptor.mars.internal-1695097013.496382-8486-19-991a84ad-601a-4258-9336-1cf33e2f553e.nc
201006,https://download-0016.copernicus-climate.eu/cache-compute-0016/cache/data8/adaptor.mars.internal-1695097183.502915-18825-17-85e21231-87bb-4604-9b67-7d9729370ef7.nc
201007,https://download-0020.copernicus-climate.eu/cache-compute-0020/cache/data7/adaptor.mars.internal-1695101059.1866357-26295-6-d740a8e7-e45f-4176-949c-efe2b5a31f76.nc
201008,https://download-0021.copernicus-climate.eu/cache-compute-0021/cache/data6/adaptor.mars.internal-1695101234.5978372-18194-1-faba4724-13b9-4ce6-8921-4851b25f1e23.nc
201009,https://download-0000-clone.copernicus-climate.eu/cache-compute-0000/cache/data2/adaptor.mars.internal-1695101498.5087764-24849-19-da81d4c4-7fb5-4d18-bb01-d06dd6141097.nc
201010,https://download-0013-clone.copernicus-climate.eu/cache-compute-0013/cache/data6/adaptor.mars.internal-1695101668.3952458-2274-20-055adc84-107e-4eb8-8f18-1bf47f5586a3.nc
201011,https://download-0011-clone.copernicus-climate.eu/cache-compute-0011/cache/data4/adaptor.mars.internal-1695101839.29226-19845-1-70aa39a6-a044-4b81-b37a-085409672d3e.nc
201012,https://download-0015-clone.copernicus-climate.eu/cache-compute-0015/cache/data0/adaptor.mars.internal-1695102015.822527-10204-14-ca4770bf-fcbc-4c28-8f73-431489ba2b3b.nc
201101,https://download-0019.copernicus-climate.eu/cache-compute-0019/cache/data9/adaptor.mars.internal-1695102188.9897823-32290-6-704d4057-6994-4b76-8c53-737ea1e8d19a.nc
