yyyy,link
2013,https://download-0012-clone.copernicus-climate.eu/cache-compute-0012/cache/data8/adaptor.mars.external-1694805473.2056682-2258-5-f52be5e5-d577-434e-bf8a-a7046f5cd1b1.grib
2014,https://download-0014-clone.copernicus-climate.eu/cache-compute-0014/cache/data0/adaptor.mars.external-1694988357.405517-24966-15-4122a02c-b63e-4a2d-bd28-d9943c4a25e8.grib
2015,https://download-0011-clone.copernicus-climate.eu/cache-compute-0011/cache/data5/adaptor.mars.external-1694988371.9528697-18303-2-9e10d79e-a0f4-4fd0-978c-70d917010501.grib
2016,https://download-0005-clone.copernicus-climate.eu/cache-compute-0005/cache/data0/adaptor.mars.external-1694988381.0799432-4686-10-32dd046f-313c-4c93-a542-189fa2e60e0b.grib
2017,https://download-0013-clone.copernicus-climate.eu/cache-compute-0013/cache/data4/adaptor.mars.external-1694988390.539197-28966-5-566e6603-5cb4-4c26-b630-ab560edba052.grib
2018,https://download-0001-clone.copernicus-climate.eu/cache-compute-0001/cache/data9/adaptor.mars.external-1694988399.927163-15786-4-a9c1b21d-4089-4cd4-aeca-49e7670fa58c.grib
2019,https://download-0007-clone.copernicus-climate.eu/cache-compute-0007/cache/data5/adaptor.mars.external-1694988409.9349108-19063-13-0a58e9ec-2ae9-4b07-ac5f-d54e8df3d1f0.grib
2020,https://download-0000-clone.copernicus-climate.eu/cache-compute-0000/cache/data5/adaptor.mars.external-1694807411.68289-23062-10-fef1da9c-3f70-4539-bd12-fb4824f72a72.grib
2021,https://download-0000-clone.copernicus-climate.eu/cache-compute-0000/cache/data4/adaptor.mars.external-1694809785.8826075-6525-12-4b8ad5a5-211c-4819-a36d-889aee0b056f.grib
2022,https://download-0018.copernicus-climate.eu/cache-compute-0018/cache/data5/adaptor.mars.external-1694811491.4292252-17494-17-ddd5e732-c6c9-4ad2-a45c-d4d9bc638bf8.grib
