yyyymm,link
198111,https://download-0001-clone.copernicus-climate.eu/cache-compute-0001/cache/data0/adaptor.mars.internal-1694040438.1336532-17117-12-6cfb16a7-e84e-436f-8173-3fc8ced42131.nc
198112,https://download-0012-clone.copernicus-climate.eu/cache-compute-0012/cache/data1/adaptor.mars.internal-1694040472.1156652-11794-6-24ff795c-f6c6-470e-a4e2-ea1089e882ff.nc
198201,https://download-0004-clone.copernicus-climate.eu/cache-compute-0004/cache/data2/adaptor.mars.internal-1694040505.4023433-29383-3-f7c0cb2a-acf1-4d41-850d-8d917c4462b0.nc
198202,https://download-0010-clone.copernicus-climate.eu/cache-compute-0010/cache/data1/adaptor.mars.internal-1694040538.925962-32500-10-a5d69360-6a41-492d-b974-72bd6509c32d.nc
198203,https://download-0010-clone.copernicus-climate.eu/cache-compute-0010/cache/data9/adaptor.mars.internal-1694040561.1048377-13916-5-900056cc-ac2a-4fe3-a51b-22f808e3330e.nc
198204,https://download-0012-clone.copernicus-climate.eu/cache-compute-0012/cache/data6/adaptor.mars.internal-1694040594.3189993-12244-5-563fed47-c50a-41c2-a028-033bf7f959d1.nc
198205,https://download-0003-clone.copernicus-climate.eu/cache-compute-0003/cache/data3/adaptor.mars.internal-1694040628.466637-24657-9-dbbbc329-75d8-41ec-a2d7-7ce3f42e00d3.nc
198206,https://download-0017.copernicus-climate.eu/cache-compute-0017/cache/data3/adaptor.mars.internal-1694040651.3795142-26949-9-7965ff2c-b4c9-4db8-a760-d8d46fe615db.nc
198207,https://download-0014-clone.copernicus-climate.eu/cache-compute-0014/cache/data6/adaptor.mars.internal-1694040673.4758432-25131-14-0bb92308-a4d2-4ab2-b5aa-cd40de755c16.nc
198208,https://download-0006-clone.copernicus-climate.eu/cache-compute-0006/cache/data4/adaptor.mars.internal-1694040695.6819835-18280-12-1a4e3246-8750-421a-8c16-08877ccb5b07.nc
198209,https://download-0014-clone.copernicus-climate.eu/cache-compute-0014/cache/data2/adaptor.mars.internal-1694040717.8344493-25702-11-b8064907-add3-4689-bdf5-67001c04a257.nc
198210,https://download-0015-clone.copernicus-climate.eu/cache-compute-0015/cache/data4/adaptor.mars.internal-1694040740.2836816-9798-13-496732d5-7130-46df-8393-e3ef142d3dd5.nc
198211,https://download-0013-clone.copernicus-climate.eu/cache-compute-0013/cache/data7/adaptor.mars.internal-1694040762.8821204-5226-15-8607b463-2b30-4c7f-b94c-9ce584f35cb4.nc
198212,https://download-0017.copernicus-climate.eu/cache-compute-0017/cache/data8/adaptor.mars.internal-1694040784.9144394-26762-17-158ca3b5-2230-48d1-85b2-a23f9062676d.nc
198301,https://download-0011-clone.copernicus-climate.eu/cache-compute-0011/cache/data0/adaptor.mars.internal-1694040818.6014102-20491-14-f6ed5994-2dce-4398-8fbe-4a2dd4ad8e88.nc
198302,https://download-0017.copernicus-climate.eu/cache-compute-0017/cache/data6/adaptor.mars.internal-1694040840.9881096-26949-18-b427da89-5214-4f0b-b51f-0a04904602fe.nc
198303,https://download-0014-clone.copernicus-climate.eu/cache-compute-0014/cache/data9/adaptor.mars.internal-1694040875.1432967-27862-1-e9a8621e-33ef-46aa-8762-522b275405dc.nc
